Date,State,Infected,Recovered,Death
10/3/2020,Andhra Pradesh,0,0,0
11/3/2020,Andhra Pradesh,0,0,0
12/3/2020,Andhra Pradesh,1,0,0
13-03-2020,Andhra Pradesh,1,0,0
14-03-2020,Andhra Pradesh,1,0,0
15-03-2020,Andhra Pradesh,1,0,0
16-03-2020,Andhra Pradesh,1,0,0
17-03-2020,Andhra Pradesh,1,0,0
18-03-2020,Andhra Pradesh,1,0,0
19-03-2020,Andhra Pradesh,2,0,0
20-03-2020,Andhra Pradesh,3,0,0
21-03-2020,Andhra Pradesh,3,0,0
22-03-2020,Andhra Pradesh,5,0,0
23-03-2020,Andhra Pradesh,7,0,0
24-03-2020,Andhra Pradesh,8,0,0
25-03-2020,Andhra Pradesh,9,1,0
26-03-2020,Andhra Pradesh,11,1,0
27-03-2020,Andhra Pradesh,14,1,0
28-03-2020,Andhra Pradesh,14,1,0
29-03-2020,Andhra Pradesh,19,1,0
30-03-2020,Andhra Pradesh,23,1,0
31-03-2020,Andhra Pradesh,40,1,0
1/4/2020,Andhra Pradesh,83,0,0
2/4/2020,Andhra Pradesh,86,1,1
3/4/2020,Andhra Pradesh,132,1,1
4/4/2020,Andhra Pradesh,161,1,1
5/4/2020,Andhra Pradesh,190,1,1
6/4/2020,Andhra Pradesh,226,1,3
7/4/2020,Andhra Pradesh,266,1,3
8/4/2020,Andhra Pradesh,305,5,4
9/4/2020,Andhra Pradesh,348,6,4
10/4/2020,Andhra Pradesh,363,7,6
11/4/2020,Andhra Pradesh,381,11,6
12/4/2020,Andhra Pradesh,381,11,6
13-04-2020,Andhra Pradesh,432,11,7
14-04-2020,Andhra Pradesh,473,14,9
15-04-2020,Andhra Pradesh,503,16,9
16-04-2020,Andhra Pradesh,534,20,14
17-04-2020,Andhra Pradesh,572,36,14
18-04-2020,Andhra Pradesh,603,42,15
19-04-2020,Andhra Pradesh,603,42,15
20-04-2020,Andhra Pradesh,722,92,20
21-04-2020,Andhra Pradesh,757,96,22
22-04-2020,Andhra Pradesh,813,120,24
23-04-2020,Andhra Pradesh,895,141,27
24-04-2020,Andhra Pradesh,955,145,29
25-04-2020,Andhra Pradesh,1061,171,31
26-04-2020,Andhra Pradesh,1097,231,31
27-04-2020,Andhra Pradesh,1177,235,31
28-04-2020,Andhra Pradesh,1259,258,31
29-04-2020,Andhra Pradesh,1332,287,31
30-04-2020,Andhra Pradesh,1403,321,31
1/5/2020,Andhra Pradesh,1463,403,33
2/5/2020,Andhra Pradesh,1525,441,33
3/5/2020,Andhra Pradesh,1583,488,33
4/5/2020,Andhra Pradesh,1650,524,36
5/5/2020,Andhra Pradesh,1717,589,36
6/5/2020,Andhra Pradesh,1717,589,36
7/5/2020,Andhra Pradesh,1777,729,36
8/5/2020,Andhra Pradesh,1847,780,38
9/5/2020,Andhra Pradesh,1887,842,41
10/5/2020,Andhra Pradesh,1930,887,44
11/5/2020,Andhra Pradesh,1980,925,45
12/5/2020,Andhra Pradesh,2018,975,45
13-05-2020,Andhra Pradesh,2090,1056,46
14-05-2020,Andhra Pradesh,2137,1142,47
15-05-2020,Andhra Pradesh,2205,1192,48
16-05-2020,Andhra Pradesh,2307,1252,48
17-05-2020,Andhra Pradesh,2355,1353,49
18-05-2020,Andhra Pradesh,2407,1456,50
19-05-2020,Andhra Pradesh,2474,1552,50
20-05-2020,Andhra Pradesh,2532,1621,52
21-05-2020,Andhra Pradesh,2602,1640,53
22-05-2020,Andhra Pradesh,2647,1709,53
23-05-2020,Andhra Pradesh,2709,1763,55
24-05-2020,Andhra Pradesh,2757,1809,56
25-05-2020,Andhra Pradesh,2823,1856,56
26-05-2020,Andhra Pradesh,3110,1896,56
27-05-2020,Andhra Pradesh,3171,2009,57
28-05-2020,Andhra Pradesh,3171,2057,58
29-05-2020,Andhra Pradesh,3251,2125,59
30-05-2020,Andhra Pradesh,3436,2226,60
31-05-2020,Andhra Pradesh,3569,2289,60
1/6/2020,Andhra Pradesh,3679,2349,62
2/6/2020,Andhra Pradesh,3783,2378,64
3/6/2020,Andhra Pradesh,3898,2421,64
4/6/2020,Andhra Pradesh,4080,2466,68
5/6/2020,Andhra Pradesh,4223,2539,71
6/6/2020,Andhra Pradesh,4303,2576,73
7/6/2020,Andhra Pradesh,4510,2620,73
8/6/2020,Andhra Pradesh,4708,2682,75
9/6/2020,Andhra Pradesh,4851,2745,75
10/6/2020,Andhra Pradesh,5070,2802,77
11/6/2020,Andhra Pradesh,5269,2899,78
12/6/2020,Andhra Pradesh,5429,3048,80
13-06-2020,Andhra Pradesh,5680,3105,80
14-06-2020,Andhra Pradesh,5965,3195,82
15-06-2020,Andhra Pradesh,6163,3314,84
16-06-2020,Andhra Pradesh,6456,3316,88
17-06-2020,Andhra Pradesh,6841,3509,88
18-06-2020,Andhra Pradesh,7071,3641,90
19-06-2020,Andhra Pradesh,7518,3789,92
20-06-2020,Andhra Pradesh,7961,3917,96
21-06-2020,Andhra Pradesh,8452,4111,101
22-06-2020,Andhra Pradesh,8999,4331,106
23-06-2020,Andhra Pradesh,9372,4495,111
24-06-2020,Andhra Pradesh,10002,4599,119
25-06-2020,Andhra Pradesh,10331,4779,124
26-06-2020,Andhra Pradesh,10884,4988,136
27-06-2020,Andhra Pradesh,11489,5196,148
28-06-2020,Andhra Pradesh,12285,5480,157
29-06-2020,Andhra Pradesh,13241,5908,169
30-06-2020,Andhra Pradesh,13891,6232,180
1/7/2020,Andhra Pradesh,14595,6511,187
2/7/2020,Andhra Pradesh,15252,6988,193
3/7/2020,Andhra Pradesh,16097,7313,198
4/7/2020,Andhra Pradesh,16934,7632,206
5/7/2020,Andhra Pradesh,17699,8008,218
6/7/2020,Andhra Pradesh,18697,8422,232
7/7/2020,Andhra Pradesh,20019,8920,239
8/7/2020,Andhra Pradesh,21197,9745,252
9/7/2020,Andhra Pradesh,22259,11101,264
10/7/2020,Andhra Pradesh,23814,12154,277
11/7/2020,Andhra Pradesh,25422,13194,292
12/7/2020,Andhra Pradesh,27235,14393,309
13-07-2020,Andhra Pradesh,29168,15412,328
14-07-2020,Andhra Pradesh,31103,16464,365
15-07-2020,Andhra Pradesh,33019,17467,408
16-07-2020,Andhra Pradesh,35451,18378,452
17-07-2020,Andhra Pradesh,38044,19393,492
18-07-2020,Andhra Pradesh,40646,20298,534
19-07-2020,Andhra Pradesh,44609,21763,586
20-07-2020,Andhra Pradesh,49650,22890,642
21-07-2020,Andhra Pradesh,53724,24228,696
22-07-2020,Andhra Pradesh,58668,25574,758
23-07-2020,Andhra Pradesh,64713,32127,823
24-07-2020,Andhra Pradesh,72711,37555,884
25-07-2020,Andhra Pradesh,80858,39935,933
26-07-2020,Andhra Pradesh,88671,43255,985
27-07-2020,Andhra Pradesh,96298,46301,1041
28-07-2020,Andhra Pradesh,102349,49558,1090
29-07-2020,Andhra Pradesh,110297,52622,1148
30-07-2020,Andhra Pradesh,120390,55406,1213
31-07-2020,Andhra Pradesh,130557,60024,1281
1/8/2020,Andhra Pradesh,140933,63864,1349
2/8/2020,Andhra Pradesh,150209,76614,1407
3/8/2020,Andhra Pradesh,158764,82886,1474
4/8/2020,Andhra Pradesh,166586,88672,1537
5/8/2020,Andhra Pradesh,176333,95625,1604
